"","year","Arrowtooth flounder_35","Flathead sole_39","Shallow water flatfish_41","Deep water flatfish_42","Pacific ocean perch_43","Slope rockfish_45","Demersal shelf rockfish_46","Pelagic shelf rockfish_47","Sablefish_49","Pacific cod_51","Walleye pollock_53","Atka mackerel_57","Squid_61","Rex sole _37","Salmon shark_28","Large sculpins_55","Octopus_62","Pacific halibut_33"
"11",2001,0.0741844110593818,0.0068514156468699,0.0228709071470254,0.000859525746584941,0.0434090105593158,0,9.46462267164745e-05,0.0107301219496612,0.030213230878012,0.172584157192815,0.014705093091507,0.000320698218248576,0,0.012321686423676,0,0,0,0
"12",2002,0.0859294029450226,0.00820683309977041,0.0257460738002036,0.000855010670062913,0.0458626138885458,0,5.70347873867504e-05,0.0121042386345727,0.0340854201363894,0.177059109166883,0.00723276923273516,0.000353879771179329,0,0.0127030826046028,0,0,0,0
"13",2003,0.128508329464282,0.0101883212860301,0,0,0.0436181736089518,0,0,0,0.038812432646559,0.223052255621483,0.206969731949278,0.00247540774122648,0,0,0,0,0,0
"14",2004,0.0665969868253475,0.00996357696288692,0,0,0.0458442724550516,0,0,0,0.0403920066107536,0.240450153129246,0.265939881330159,0.00349454144286511,0,0,0,0,0,0
"15",2005,0.0848645817803884,0.0104812603026805,0,0,0.0443066801834995,0,0,0,0.0367824968373167,0.202427833317005,0.333531224309854,0.0034091596420311,0,0,0,0,0,0
"16",2006,0.117659056349007,0.0131345535398626,0,0,0.0525442882152243,0,0,0,0.0343802333357471,0.203464171163995,0.293600552031997,0.00374047680911875,0,0,0,0,0,0
"17",2007,0.107965647082877,0.0130555226627025,0,0,0.0498908160787838,0,0,0,0.0345211633563205,0.220694290983903,0.219672558983511,0.00622776431300555,0,0,0,0,0,0
"18",2008,0.124402881129962,0.0140772418845759,0,0,0.0483912271211276,0,0,0,0.0305589409163902,0.24869716189105,0.216324156937245,0.00899420281212596,0,0,0,0,0,0
"19",2009,0.105770957835149,0.0154360541638802,0,0,0.0504242979268984,0,0,0,0.027217771511571,0.220595478960169,0.176980363676635,0.00947110138050595,0,0,0,0,0,0
"20",2010,0.103674022106117,0.016621486940628,0,0,0.058311374262078,0,0,0,0.0249861585922686,0.32778669458099,0.312832547315923,0.0102944181160511,0,0,0,0,0,0
"21",2011,0.131669095099641,0.0116336831996997,0,0,0.0526037492509935,0,0,0,0.0269049620327462,0.356565285329014,0.330940114036154,0.00687714603840541,0.000973240989714145,0,0.00123308608191669,0.00322723032153436,0.00404213402468299,0
"22",2012,0.0884354825863163,0.00923049641509356,0,0,0.0563637913725547,0,0,0,0.0284559890784111,0.327432965721144,0.421412926349107,0.0050590998000098,7.01698814421836e-05,0,0.00175819556690151,0.00336413817951092,0.00177579851117609,0
"23",2013,0.0928969004229834,0.0120049665933867,0,0,0.0496002525212515,0,0,0,0.0278801584651031,0.28466186594827,0.386748810967755,0.00543938035219215,0.0013562896185953,0,0.00643873429987562,0.00737116923258906,0.0017564878467468,0.0601241842202028
"24",2014,0.155576338776229,0.0108845285508496,0,0,0.0674730843730067,0,0,0,0.025261032152432,0.355633530092817,0.591850125027959,0.00443722257259476,0.000390686254567681,0,0.00444793452657378,0.00502031101542367,0.00555672176479007,0.0368024352619894
"25",2015,0.0821939317400675,0.00852189322125877,0,0,0.0713555155277843,0,0,0,0.0239540551562544,0.330920998633677,0.693480169616055,0.00518725260057503,0.00174188947329971,0,0.00424614294855582,0.00430098346894905,0.00409769452025651,0.0374129329293791
"26",2016,0.0850891475362429,0.0103047450636183,0,0,0.0860753033880393,0,0,0,0.0223462928704182,0.267783768377279,0.73726238322663,0.00465521893798968,0.00101506134360201,0,0.00558401442913161,0.00560489929210926,0.00163742001021557,0.0350238523962742
"27",2017,0.115234587904076,0.00873288741113265,0,0,0.0898907030842645,0,0,0,0.0256375520795476,0.20532614851218,0.784686345352542,0.0045768914667963,0.000157237226782497,0,0.00435233593540927,0.0058253488543973,0.000983991907337425,0.0361015315018035
"28",2018,0.0803779502269081,0.00937906560856203,0,0,0.09108751881531,0,0,0,0.030529400948713,0.0625350803744494,0.642398239400413,0.00612310881616355,0.000163160167817301,0,0.00656524268250408,0.00247830663449859,0.000867061630549178,0.0294568220031627
"29",2019,0.10464350917749,0.0113617764981309,0,0,0.0944871247670306,0,0,0,0.03327894556274,0.0647462848432285,0.471311252806239,0.00534301314602993,0,0,0.00451050097972816,0.0026952824402732,0.00141991087329503,0.0302301533043183
"30",2020,0.0899433032931665,0.00814132343138617,0,0,0.101056262262621,0,0,0,0.0319574201293195,0.0259201569810512,0.425827366338895,0.00258754208651398,0,0,0.00308824330315246,0.0023112484701004,0.00032814243322287,0.0234897762317274
"31",2021,0.041940372528566,0.00301174719779017,0,0,0.116018518776397,0,0,0,0.0396924478449527,0.079596594474259,0.399839241039078,0.00400106102654524,0,0,0.00413202378103029,0,0.000218786583599623,0.026028380570382
"32",2022,0.0491199579899535,0.00239998385216873,0,0,0.119630082409745,0,0,0,0.0476755478905575,0.108140329415125,0.526022780452021,0.0037469379204665,0,0,0.00461717109490691,0,0.00062361174788409,0.0296520302649336
"33",2023,0.0387413626219071,0.00199681454671784,0,0,0.120959785015788,0,0,0,0.0393829328194178,0.0895086141937543,0.532287979302866,0.00197036225797017,0,0,0.00294354080122589,0,0.000779034679936448,0.026920293057681
