"race_group","stationid","station_avg_st","station_avg_bt","station_catch"
"Arrowtooth flounder","103-72",6.4,4.65,217.506
"Arrowtooth flounder","103-73",6.3,5.3,100.9
"Arrowtooth flounder","103-75",6.95,5.4,10.646
"Arrowtooth flounder","103-76",5.7,4.7,10.02
"Arrowtooth flounder","103-78",7.16666666666667,5.66666666666667,29.588
"Arrowtooth flounder","103-79",7.7,5.3,1.813
"Arrowtooth flounder","104-45",7.4,4,4.32
"Arrowtooth flounder","104-46",6.43333333333333,4.73333333333333,165.436
"Arrowtooth flounder","104-47",7.05,5.15,153.31
"Arrowtooth flounder","104-48",8.75,5.25,176.64
"Arrowtooth flounder","104-51",5.83333333333333,4,159.26
"Arrowtooth flounder","104-52",6.6,5.8,22.3
"Arrowtooth flounder","104-55",6.55,4.6,311.07
"Arrowtooth flounder","104-56",6.4,3.65,251.202
"Arrowtooth flounder","104-57",6.5,5.7,644.98
"Arrowtooth flounder","104-59",5.2,3.1,152.78
"Arrowtooth flounder","104-60",9,5.4,241.8
"Arrowtooth flounder","104-61",9.45,5.25,1099.326
"Arrowtooth flounder","104-64",6.63333333333333,4.06666666666667,1630.814
"Arrowtooth flounder","104-71",6.9,6.7,5.71
"Arrowtooth flounder","104-72",7.6,5.8,21.66
"Arrowtooth flounder","104-73",6.1,5.4,163.708
"Arrowtooth flounder","104-79",5.2,5.1,0.064
"Arrowtooth flounder","105-46",4.5,3.7,2.1
"Arrowtooth flounder","105-47",4.6,4.1,6.97
"Arrowtooth flounder","105-48",6.43333333333333,5.1,302.9
"Arrowtooth flounder","105-49",7.2,5.25,147.45
"Arrowtooth flounder","105-51",5.6,2.8,6.34
"Arrowtooth flounder","105-52",7.5,4.8,731.871
"Arrowtooth flounder","105-53",5.63333333333333,4.06666666666667,298.82
"Arrowtooth flounder","105-54",4.1,2.6,2.896
"Arrowtooth flounder","105-55",5,3.9,289.738
"Arrowtooth flounder","105-56",6.65,3.55,636.02
"Arrowtooth flounder","105-58",7.5,3.9,883.014
"Arrowtooth flounder","105-62",6.56666666666667,4.23333333333333,995.832
"Arrowtooth flounder","105-71",6.55,3.75,336.324
"Arrowtooth flounder","105-72",6.3,6.3,130.22
"Arrowtooth flounder","106-47",6.6,4.26666666666667,106.31
"Arrowtooth flounder","106-48",6.3,4.64,266.83
"Arrowtooth flounder","106-49",6.6,3.9,203.852
"Arrowtooth flounder","106-54",7.7,5.4,737.996
"Arrowtooth flounder","106-60",7.2,5.6,258.68
"Arrowtooth flounder","106-69",5,3.7,104.342
"Arrowtooth flounder","106-70",5.55,3.9,44.11
"Arrowtooth flounder","106-72",7.36666666666667,5.6,138.875
"Arrowtooth flounder","106-73",6.4,5.1,11.613
"Arrowtooth flounder","107-46",7.4,3.5,0.44
"Arrowtooth flounder","107-49",8.66666666666667,5.26666666666667,501.979
"Arrowtooth flounder","107-51",9.1,5.3,78.018
"Arrowtooth flounder","107-52",6.3,4.9,185.8
"Arrowtooth flounder","107-53",5.8,3.7,246.326
"Arrowtooth flounder","107-54",8.1,4.5,175.872
"Arrowtooth flounder","107-55",6.7,4.55,112.423
"Arrowtooth flounder","107-56",5.7,4.3,72.565
"Arrowtooth flounder","107-59",6.8,4.6,8.75
"Arrowtooth flounder","107-60",5.7,4.1,184.94
"Arrowtooth flounder","107-61",8,4.8,381.018
"Arrowtooth flounder","107-63",4.2,2.5,169.2
"Arrowtooth flounder","107-64",6.7,4.7,374.22
"Arrowtooth flounder","107-70",6.2,3.8,25.034
"Arrowtooth flounder","107-71",6.4,6.2,142
"Arrowtooth flounder","107-72",6.8,5.8,40.852
"Arrowtooth flounder","107-73",6.4,5.4,20.68
"Arrowtooth flounder","108-47",7.4,4.1,38.32
"Arrowtooth flounder","108-48",7.6,4.76666666666667,89.317
"Arrowtooth flounder","108-49",6.9,5,234.848
"Arrowtooth flounder","108-53",8.2,5.1,255.373
"Arrowtooth flounder","108-56",6,4.05,432.17
"Arrowtooth flounder","108-60",5.2,3.2,114.71
"Arrowtooth flounder","108-62",6.2,4.8,150.34
"Arrowtooth flounder","108-63",8.7,4.6,414.13
"Arrowtooth flounder","108-64",6.8,4.1,153.71
"Arrowtooth flounder","108-66",6.275,4.4,4729.398
"Arrowtooth flounder","108-67",6.56666666666667,4.5,1123.316
"Arrowtooth flounder","108-68",6,4.4,442.18
"Arrowtooth flounder","108-69",6.3,4.9,4.7
"Arrowtooth flounder","108-71",5.2,4.3,36.24
"Arrowtooth flounder","108-73",5.6,5.4,4.01
"Arrowtooth flounder","109-47",7.3,4.3,9.69
"Arrowtooth flounder","109-48",6.35,4.95,253.44
"Arrowtooth flounder","109-51",5.5,4.7,38.3
"Arrowtooth flounder","109-52",5.6,4,29.71
"Arrowtooth flounder","109-55",7.85,5.2,366.08
"Arrowtooth flounder","109-57",5.6,3.9,162.782
"Arrowtooth flounder","109-61",6.9,5.6,313.8
"Arrowtooth flounder","109-62",6.95,5.45,441.88
"Arrowtooth flounder","109-63",8,5.5,58.3
"Arrowtooth flounder","109-65",6.1,4,202.932
"Arrowtooth flounder","109-66",8.6,5.9,926.2
"Arrowtooth flounder","109-71",5.8,3.2,19.6
"Arrowtooth flounder","109-72",7.4,5.5,0.907
"Arrowtooth flounder","109-73",6.75,5.05,66.498
"Arrowtooth flounder","109-75",7.7,6.4,2.94
"Arrowtooth flounder","11-8",6,4.88,24.188
"Arrowtooth flounder","11-9",4.8,4.45,28.7
"Arrowtooth flounder","110-48",6.03333333333333,4.86666666666667,218.884
"Arrowtooth flounder","110-49",6.5,5.2,48.5
"Arrowtooth flounder","110-50",7.6,5.6,74.29
"Arrowtooth flounder","110-51",6.6,5.15,140.12
"Arrowtooth flounder","110-53",7.45,5.5,405.27
"Arrowtooth flounder","110-54",6.66666666666667,4.9,1044.335
"Arrowtooth flounder","110-55",7.4,5.1,106.92
"Arrowtooth flounder","110-57",5,3.5,52.2
"Arrowtooth flounder","110-60",6.3,3.3,120.28
"Arrowtooth flounder","110-61",6.8,4.6,130.65
"Arrowtooth flounder","110-62",6.5,4.9,43.3
"Arrowtooth flounder","110-63",6.9,4.1,130.5
"Arrowtooth flounder","110-64",5.8,4.4,184.34
"Arrowtooth flounder","110-65",7.16666666666667,5,1087.198
"Arrowtooth flounder","110-71",3.4,2.5,31.4
"Arrowtooth flounder","110-73",7.2,5.5,0.181
"Arrowtooth flounder","110-74",6.7,4.85,350.09
"Arrowtooth flounder","110-76",6.1,5,21.01
"Arrowtooth flounder","111-49",7.5,6,10.03
"Arrowtooth flounder","111-50",4.8,4.3,74.42
"Arrowtooth flounder","111-51",8.3,5.15,389.898
"Arrowtooth flounder","111-53",7.6,5.2,46.08
"Arrowtooth flounder","111-55",7.7,6,108.33
"Arrowtooth flounder","111-57",4.7,4,54
"Arrowtooth flounder","111-58",6.75,3.9,696.97
"Arrowtooth flounder","111-60",7.2,4.7,528.984
"Arrowtooth flounder","111-61",5.8,3.2,80.98
"Arrowtooth flounder","111-62",7.06,5.22,1579.243
"Arrowtooth flounder","111-64",4.4,2.7,117.6
"Arrowtooth flounder","111-65",6.5,4.8,116.47
"Arrowtooth flounder","111-68",6.5,6.1,8.7
"Arrowtooth flounder","111-69",5.8,4.75,10.32
"Arrowtooth flounder","111-72",3.5,3.1,3.16
"Arrowtooth flounder","111-74",5.3,4.1,4.18
"Arrowtooth flounder","111-75",7.9,5.8,0.174
"Arrowtooth flounder","112-48",6.95,5.3,120.12
"Arrowtooth flounder","112-50",7.6,6.1,22.42
"Arrowtooth flounder","112-51",7,5.6,16.28
"Arrowtooth flounder","112-52",6.1,4.6,118.85
"Arrowtooth flounder","112-53",7.5,4.8,108.998
"Arrowtooth flounder","112-54",7,4.9,359.908
"Arrowtooth flounder","112-55",7.8,5.3,38.56
"Arrowtooth flounder","112-56",6.8,5.6,203.92
"Arrowtooth flounder","112-60",6.8,4.4,795.244
"Arrowtooth flounder","112-62",7.45,5.275,1559.049
"Arrowtooth flounder","112-63",7,5.6,238.41
"Arrowtooth flounder","112-65",6.7,4.2,92.36
"Arrowtooth flounder","112-68",6.4,5.2,41.1
"Arrowtooth flounder","112-77",8.3,6.65,157.473
"Arrowtooth flounder","113-49",5.8,4.5,1.224
"Arrowtooth flounder","113-50",6.2,3.9,19.654
"Arrowtooth flounder","113-54",6.3,4.6,483.568
"Arrowtooth flounder","113-56",8.5,6,66.86
"Arrowtooth flounder","113-60",8.1,5.9,165.028
"Arrowtooth flounder","113-61",6.7,5.2,430.1
"Arrowtooth flounder","113-62",5.9,3.2,156.74
"Arrowtooth flounder","113-63",5.5,3.4,154.656
"Arrowtooth flounder","113-64",6.925,4.375,835.593
"Arrowtooth flounder","113-68",6.15,5.5,30.22
"Arrowtooth flounder","113-69",6.8,5.15,79.015
"Arrowtooth flounder","113-77",5.8,3.9,1.6
"Arrowtooth flounder","114-46",7.7,4.1,4.32
"Arrowtooth flounder","114-48",7.5,4.86666666666667,130.434
"Arrowtooth flounder","114-49",7.98333333333333,5.05,127.35
"Arrowtooth flounder","114-50",7.1,5.2,30.22
"Arrowtooth flounder","114-52",6,4.7,27.31
"Arrowtooth flounder","114-53",7,4,500.598
"Arrowtooth flounder","114-56",7.7,4.4,666.7
"Arrowtooth flounder","114-59",6.7,2.9,57.25
"Arrowtooth flounder","114-60",6.7,5.8,1498.45
"Arrowtooth flounder","114-62",7.1,4.6,208.28
"Arrowtooth flounder","114-63",5.95,3.25,281.198
"Arrowtooth flounder","114-64",7.1,5.03333333333333,814.66
"Arrowtooth flounder","114-65",6.25,4.05,456.71
"Arrowtooth flounder","114-74",5.66666666666667,4.06666666666667,139.658
"Arrowtooth flounder","114-75",8.2,4.8,391.427
"Arrowtooth flounder","114-76",7.9,5.4,699.04
"Arrowtooth flounder","114-77",7.375,5.2,1723.104
"Arrowtooth flounder","114-78",6.5,5.9,9.357
"Arrowtooth flounder","114_61",6.9,4.8,920.365
"Arrowtooth flounder","115-46",7.33333333333333,4.06666666666667,15.62
"Arrowtooth flounder","115-47",7.66666666666667,4.43333333333333,49.05
"Arrowtooth flounder","115-48",6.8,5.1,318.38
"Arrowtooth flounder","115-49",8.1,5.2,30.844
"Arrowtooth flounder","115-50",6.6,5.05,246.65
"Arrowtooth flounder","115-51",5.8,4.3,627.02
"Arrowtooth flounder","115-53",6.3,4.2,583.644
"Arrowtooth flounder","115-54",6.4,4.7,42.69
"Arrowtooth flounder","115-57",6,3.8,12.77
"Arrowtooth flounder","115-61",6.3,4.1,1040.357
"Arrowtooth flounder","115-62",5.6,4.7,530.42
"Arrowtooth flounder","115-63",6.8,5.9,794.44
"Arrowtooth flounder","115-64",7.53333333333333,4.66666666666667,606.654
"Arrowtooth flounder","115-65",6.5,3.875,1058.85
"Arrowtooth flounder","115-66",6.3,5.7,490.3
"Arrowtooth flounder","115-68",6.6,5.8,1.78
"Arrowtooth flounder","115-71",7.2,4.7,107.31
"Arrowtooth flounder","115-74",7.2,5.9,23.24
"Arrowtooth flounder","115-76",9.1,3.5,547.375
"Arrowtooth flounder","116-49",7.45,5.4,44.67
"Arrowtooth flounder","116-50",6.45,4.35,428.68
"Arrowtooth flounder","116-51",8.3,5.2,71.668
"Arrowtooth flounder","116-53",8.7,5.3,172.819
"Arrowtooth flounder","116-54",5.5,3.4,287.61
"Arrowtooth flounder","116-55",6.2,4.6,47.24
"Arrowtooth flounder","116-57",4.8,3.5,19.1
"Arrowtooth flounder","116-59",4.5,3.2,113.6
"Arrowtooth flounder","116-62",8.5,6.2,208.199
"Arrowtooth flounder","116-63",7,5.35,329.72
"Arrowtooth flounder","116-64",6.7,5.5,7.05
"Arrowtooth flounder","116-65",5.5,3.25,343.948
"Arrowtooth flounder","116-66",8.9,5.5,874.96
"Arrowtooth flounder","116-67",6.7,5.7,207.71
"Arrowtooth flounder","116-68",5.8,4.76,347.42
"Arrowtooth flounder","116-71",7.1,4.7,86.17
"Arrowtooth flounder","116-73",6.1,5.8,152.905
"Arrowtooth flounder","116-74",7.05,4.61666666666667,180.912
"Arrowtooth flounder","116-76",6,4.45,481.576
"Arrowtooth flounder","116-79",4.5,3.1,3
"Arrowtooth flounder","117-48",7.2,4.82,197.8
"Arrowtooth flounder","117-52",7.7,4.7,128.474
"Arrowtooth flounder","117-55",8.2,5.3,11.61
"Arrowtooth flounder","117-56",8.8,4.8,230.879
"Arrowtooth flounder","117-59",4.3,2.9,47.6
"Arrowtooth flounder","117-63",3.9,2.9,129.2
"Arrowtooth flounder","117-64",7.4,5,194.36
"Arrowtooth flounder","117-65",6.6,5.2,49.52
"Arrowtooth flounder","117-69",6,3.3,1268.542
"Arrowtooth flounder","117-75",7.3,4,54.76
"Arrowtooth flounder","117-80",5.8,4.5,138.77
"Arrowtooth flounder","118-50",6.2,4.46666666666667,815.848
"Arrowtooth flounder","118-54",8.6,5.2,346.998
"Arrowtooth flounder","118-57",7.9,5.25,1543.296
"Arrowtooth flounder","118-59",7.4,5.1,16.89
"Arrowtooth flounder","118-60",5.2,3.2,216.5
"Arrowtooth flounder","118-61",7.5,5.8,45.71
"Arrowtooth flounder","118-63",4.7,4.4,609.95
"Arrowtooth flounder","118-64",5.4,5.3,1216.45
"Arrowtooth flounder","118-65",7.6,5.5,17.16
"Arrowtooth flounder","118-66",6.7,4.9,18.2
"Arrowtooth flounder","118-67",6.75,4.4,181.818
"Arrowtooth flounder","118-69",9.1,5.8,646.09
"Arrowtooth flounder","118-70",7.36666666666667,4.5,311.791
"Arrowtooth flounder","118-77",7.15,5,24.704
"Arrowtooth flounder","119-49",6.83333333333333,5.16666666666667,192.73
"Arrowtooth flounder","119-50",9.85,5.55,59.04
"Arrowtooth flounder","119-51",6.95,4.9,1259.1
"Arrowtooth flounder","119-52",8.2,5.4,354.1
"Arrowtooth flounder","119-53",5.25,4,383.09
"Arrowtooth flounder","119-54",7.8,5.4,319.5
"Arrowtooth flounder","119-57",5.9,4.6,17.445
"Arrowtooth flounder","119-59",8.9,4.6,3.75
"Arrowtooth flounder","119-61",5.4,4.1,64.1
"Arrowtooth flounder","119-62",6.325,5.625,60.868
"Arrowtooth flounder","119-66",7.1,6,1.04
"Arrowtooth flounder","119-67",7.8,5,2.7
"Arrowtooth flounder","119-69",6.4,4.9,123.798
"Arrowtooth flounder","119-71",5.83333333333333,3.83333333333333,358.128
"Arrowtooth flounder","119-78",7.7,4.7,1428.246
"Arrowtooth flounder","12-11",5.3875,4.9875,87.01
"Arrowtooth flounder","12-9",5.8,4.6,8.5
"Arrowtooth flounder","120-49",7.6,5.5,23.64
"Arrowtooth flounder","120-50",7.4,5.06666666666667,208.63
"Arrowtooth flounder","120-51",6.3,5.65,365.39
"Arrowtooth flounder","120-52",7.1,4.7,1046.3
"Arrowtooth flounder","120-53",9.1,5.7,31.076
"Arrowtooth flounder","120-55",7.1,3.3,13.59
"Arrowtooth flounder","120-57",5,3.3,12.91
"Arrowtooth flounder","120-60",7.7,6.3,150.209
"Arrowtooth flounder","120-61",7.1,4.8,23.07
"Arrowtooth flounder","120-62",6.15,5.25,5.63
"Arrowtooth flounder","120-68",7.1,4.6,34.83
"Arrowtooth flounder","120-69",5.4,3.9,89.18
"Arrowtooth flounder","120-71",5.7,4.33333333333333,47.486
"Arrowtooth flounder","120-75",6.6,4.6,26.85
"Arrowtooth flounder","120-77",6.6,3.4,0.67
"Arrowtooth flounder","120-79",6.3,4,84.856
"Arrowtooth flounder","120-81",7.95,6.1,4.44
"Arrowtooth flounder","121-48",6.95,3.95,23.46
"Arrowtooth flounder","121-50",6.9,5.35,60.66
"Arrowtooth flounder","121-51",7,4.7,846.7
"Arrowtooth flounder","121-60",7.7,5.25714285714286,250.032
"Arrowtooth flounder","121-61",8.2,6.5,0.272
"Arrowtooth flounder","121-62",6.8,6.5,4.36
"Arrowtooth flounder","121-63",4.2,3.2,3.8
"Arrowtooth flounder","121-64",5.6,5.1,20.22
"Arrowtooth flounder","121-65",7.25,5.9,8.53
"Arrowtooth flounder","121-66",5.3,5.1,22.38
"Arrowtooth flounder","121-71",7.1,5.1,11.48
"Arrowtooth flounder","121-76",5.6,2.9,14.75
"Arrowtooth flounder","121-78",8.96666666666667,5.46666666666667,629.986
"Arrowtooth flounder","121-79",6.7,4.9,654.158
"Arrowtooth flounder","121-80",6.66666666666667,5,46.03
"Arrowtooth flounder","121-81",8.46666666666667,6.3,10.56
"Arrowtooth flounder","121-82",8.3,5.2,621.19
"Arrowtooth flounder","121-83",7.3,5.95,20.054
"Arrowtooth flounder","122-49",7.23333333333333,4.53333333333333,205.418
"Arrowtooth flounder","122-50",6.83333333333333,4.93333333333333,103.842
"Arrowtooth flounder","122-51",7.2,4.5,271.1
"Arrowtooth flounder","122-52",7.2,5.03333333333333,1111.85
"Arrowtooth flounder","122-53",8.8,4.6,913.535
"Arrowtooth flounder","122-54",7.45,4.85,74.21
"Arrowtooth flounder","122-63",6,4.3,2.32
"Arrowtooth flounder","122-66",5.4,4.9,84.357
"Arrowtooth flounder","122-76",5.8,2.5,7.872
"Arrowtooth flounder","122-77",7.2,3.7,8.2
"Arrowtooth flounder","122-78",7.4,5.4,384.928
"Arrowtooth flounder","122-82",6,3.4,239.7
"Arrowtooth flounder","123-52",5.5,3.4,344.6
"Arrowtooth flounder","123-53",5.7,4.1,99.788
"Arrowtooth flounder","123-54",7.325,4.75,331.27
"Arrowtooth flounder","123-55",6.5,4.35,49.006
"Arrowtooth flounder","123-57",7.6,5.1,9.88
"Arrowtooth flounder","123-59",6.8,4.9,14.2
"Arrowtooth flounder","123-60",7.6,4.8,1.01
"Arrowtooth flounder","123-63",8.16666666666667,6.23333333333333,7.934
"Arrowtooth flounder","123-65",5.6,5.5,6.55
"Arrowtooth flounder","123-69",5.54,3.72,2053.365
"Arrowtooth flounder","123-71",5.96,4.12,51.691
"Arrowtooth flounder","123-73",9.7,5,133.129
"Arrowtooth flounder","123-75",6,4,49.31
"Arrowtooth flounder","123-77",6.8,3.5,518.433
"Arrowtooth flounder","123-78",8.2,4.6,2205.509
"Arrowtooth flounder","123-79",9.55,5.45,843.644
"Arrowtooth flounder","123-81",9,3.6,183.05
"Arrowtooth flounder","123-82",10.1,4,353.802
"Arrowtooth flounder","123-84",7.6,3.65,373.462
"Arrowtooth flounder","124-50",7.35,4.95,57.902
"Arrowtooth flounder","124-52",6.85,5.35,430.32
"Arrowtooth flounder","124-54",6.4,4.55,221
"Arrowtooth flounder","124-55",6.9,4.8,21.92
"Arrowtooth flounder","124-59",7.3,5.7,21.12
"Arrowtooth flounder","124-61",6.6,5.95,12.44
"Arrowtooth flounder","124-64",7.86666666666667,5.76666666666667,5.92
"Arrowtooth flounder","124-65",7.1,6.3,2.25
"Arrowtooth flounder","124-69",6.35,4.75,2.534
"Arrowtooth flounder","124-71",7.53333333333333,4.88333333333333,84.078
"Arrowtooth flounder","124-74",6.35,3.75,137.37
"Arrowtooth flounder","124-75",8,4,222.502
"Arrowtooth flounder","124-77",7.9,4,706.3
"Arrowtooth flounder","124-78",4.6,3,230.952
"Arrowtooth flounder","124-79",7.8,6.1,287.82
"Arrowtooth flounder","124-80",8.2,5,1037.364
"Arrowtooth flounder","124-82",10.6,3.1,442.162
"Arrowtooth flounder","124-83",9.1,4.6,229.01
"Arrowtooth flounder","124-84",7,4.9,85.242
"Arrowtooth flounder","125-49",7.3,4,97.8
"Arrowtooth flounder","125-50",6.93333333333333,5.46666666666667,67.83
"Arrowtooth flounder","125-52",7.33333333333333,4.86666666666667,1060.85
"Arrowtooth flounder","125-53",6.9,4.7,141.86
"Arrowtooth flounder","125-62",7.625,6.125,8.888
"Arrowtooth flounder","125-66",6.1,5.45,11.76
"Arrowtooth flounder","125-71",9,5.5,414.97
"Arrowtooth flounder","125-72",6.7,4.1,58.29
"Arrowtooth flounder","125-73",6,3.8,99.76
"Arrowtooth flounder","125-76",7.6,4.7,92.72
"Arrowtooth flounder","125-78",7.8,4.9,34.49
"Arrowtooth flounder","125-84",7.6,6.5,737.568
"Arrowtooth flounder","126-50",7.7,4.5,12.39
"Arrowtooth flounder","126-51",5.1,4.9,13.06
"Arrowtooth flounder","126-52",8.65,5.6,2050.471
"Arrowtooth flounder","126-53",8.7,5.7,1273.9
"Arrowtooth flounder","126-63",5.6,5.4,5.14
"Arrowtooth flounder","126-64",6.3,5.475,88.051
"Arrowtooth flounder","126-71",8.4,4.7,258.42
"Arrowtooth flounder","126-72",6.2,4.2,89.64
"Arrowtooth flounder","126-73",5,2.9,26.15
"Arrowtooth flounder","126-76",7.1,4.3,86.05
"Arrowtooth flounder","126-77",7.65,4.65,5.85
"Arrowtooth flounder","126-78",7.2,5,109.66
"Arrowtooth flounder","126-79",8,6.4,2.396
"Arrowtooth flounder","127-50",8.55,4,13.294
"Arrowtooth flounder","127-52",8.1,5.1,106.38
"Arrowtooth flounder","127-54",7.8,3.9,3.04
"Arrowtooth flounder","127-57",4.2,3.2,5.5
"Arrowtooth flounder","127-64",5.76666666666667,5.36666666666667,27.73
"Arrowtooth flounder","127-67",6.9,4.8,18.45
"Arrowtooth flounder","127-68",6.63333333333333,5.46666666666667,29.626
"Arrowtooth flounder","127-71",6.9,4.5,1749.76
"Arrowtooth flounder","127-74",5.4,2.6,71.99
"Arrowtooth flounder","127-75",7,4.2,152.3
"Arrowtooth flounder","127-76",7.8,4.8,196.535
"Arrowtooth flounder","127-78",7.7,5,1.376
"Arrowtooth flounder","127-80",6.55,4.4,208.55
"Arrowtooth flounder","127-81",6.2,3.45,8.866
"Arrowtooth flounder","127-82",7.3,4.15,248.85
"Arrowtooth flounder","128-50",7.45,4.05,38.48
"Arrowtooth flounder","128-57",5.86666666666667,3.83333333333333,10.78
"Arrowtooth flounder","128-67",7.35,4.5,71.88
"Arrowtooth flounder","128-68",6.63333333333333,4.8,86.698
"Arrowtooth flounder","128-70",7,4.5,4.62
"Arrowtooth flounder","128-71",8.2,5.3,60
"Arrowtooth flounder","128-72",5.3,3.5,1260.71
"Arrowtooth flounder","128-74",9.8,4.4,334.298
"Arrowtooth flounder","128-80",7.5,4.4,207
"Arrowtooth flounder","128-82",7.56666666666667,3.53333333333333,400.58
"Arrowtooth flounder","128-83",9.3,5.55,500.026
"Arrowtooth flounder","129-51",7.11666666666667,4.11666666666667,92.8
"Arrowtooth flounder","129-52",7.25,4.75,189.83
"Arrowtooth flounder","129-53",8.6,5.7,57
"Arrowtooth flounder","129-54",5.6,4.3,16.96
"Arrowtooth flounder","129-57",5.75,3.75,7.114
"Arrowtooth flounder","129-67",5.3,5.1,34.82
"Arrowtooth flounder","129-68",5.8,3.8,71.482
"Arrowtooth flounder","129-70",7.86666666666667,4.9,448.3
"Arrowtooth flounder","129-74",8.5,4.7,164.52
"Arrowtooth flounder","129-75",5.9,3.1,532.23
"Arrowtooth flounder","129-76",8.76666666666667,4.3,798.554
"Arrowtooth flounder","129-77",5,2.9,309.848
"Arrowtooth flounder","129-84",9.7,5.85,14.85
"Arrowtooth flounder","13-11",5.7,5.3,3.9
"Arrowtooth flounder","13-9",5.7,4.6,21.29
"Arrowtooth flounder","130-51",8.1,3.9,0.694
"Arrowtooth flounder","130-53",9.05,5.5,316
"Arrowtooth flounder","130-66",5.2,3.6,10.148
"Arrowtooth flounder","130-69",5.4,2.9,376.84
"Arrowtooth flounder","130-72",6.95,4.45,407.2
"Arrowtooth flounder","130-73",7.5,4.65,372.16
"Arrowtooth flounder","130-76",6.6,4.1,87.6
"Arrowtooth flounder","130-78",8.6,5.15,278.5
"Arrowtooth flounder","130-81",7.23333333333333,3.63333333333333,966.569
"Arrowtooth flounder","130-83",7.83333333333333,5.06666666666667,1590.056
"Arrowtooth flounder","130-85",9.35,5.5,357.99
"Arrowtooth flounder","131-52",8,5.2,35.4
"Arrowtooth flounder","131-53",7.3,4.7,37.674
"Arrowtooth flounder","131-54",7.03333333333333,5.13333333333333,47.45
"Arrowtooth flounder","131-55",7.5,4.4,5.08
"Arrowtooth flounder","131-64",5.4,3.3,16.9
"Arrowtooth flounder","131-70",7.86666666666667,5.1,582.414
"Arrowtooth flounder","131-71",7.7,5,144.97
"Arrowtooth flounder","131-74",8.2,5.2,95.7
"Arrowtooth flounder","131-75",9.45,5.3,156.146
"Arrowtooth flounder","131-77",8.86666666666667,4.73333333333333,1526.161
"Arrowtooth flounder","131-78",8.5,4.8,108.74
"Arrowtooth flounder","131-79",5.1,2.9,34.734
"Arrowtooth flounder","131-80",8.75,5.4,7.66
"Arrowtooth flounder","131-81",8.1,4.7,181.3
"Arrowtooth flounder","131-82",8.85,5.1,843.437
"Arrowtooth flounder","131-83",7.6,4.9,506.206
"Arrowtooth flounder","131-85",8.95,6.15,418.912
"Arrowtooth flounder","132-54",5.95,4.85,378.09
